关注人数,区域,单价,城区,小区,建成年份,总价,户型_厅,户型_室,朝向,标题,楼层,满二年,满五年,装修,近地铁,面积 
121,菜户营,93985,西城,考拉社区 ,2005,789,1,2,南,考拉社区  2008年商品房 全南两居室,高楼层(共21层),False,True,简装,False,83.95
41,阜成门,108803,西城,百万庄子区 ,1956,618,1,2,南 北,百万庄子区，南北通透，全明户型，低楼层,底层(共3层),False,True,简装,True,56.8
18,木樨地,139521,西城,西便门外大街 ,1978,699,1,2,南,铁一区双南两居 采光好 不临街 中间层 诚心出售,中楼层(共5层),True,False,简装,True,50.1
84,马甸,136739,西城,新明胡同 ,1993,830,1,2,东南,德外新明胡同东南朝向 带电梯 采光视野好,中楼层(共18层),False,True,精装,False,60.7
30,广安门,98377,西城,玺源台 ,2013,618,1,1,西,店长推荐玺源台高楼层精装修一居室诚心出售,高楼层(共27层),True,False,精装,True,62.82
106,广安门,85554,西城,西豪逸景 ,2002,655,1,2,西南,西豪逸景，西南两居室，满五年，中楼层，诚心卖,中楼层(共28层),False,True,简装,True,76.56
59,月坛,113427,西城,南营房 ,1981,566,1,2,东,阜成门 满五年 不临街 位置好交通便利 楼比较新,顶层(共6层),True,False,简装,True,49.9
87,马连道,92366,西城,马连道中里 ,1995,732,1,3,南,马连道中里 南向户型方正 采光好 无遮挡,低楼层(共18层),True,False,简装,True,79.25
139,广安门,86470,西城,广华轩 ,1999,749,1,2,西南,广华轩西南向两居室+精装修+格局合理,高楼层(共24层),False,True,精装,True,86.62
26,官园,100581,西城,北礼士路 ,1978,520,1,2,南,北礼士路 2室1厅 南,顶层(共5层),False,True,简装,True,51.7
88,阜成门,156627,西城,扣钟北里 ,1989,520,1,1,东,满五年，带电梯，视野好，配套齐全，交通便利,高楼层(共16层),False,True,简装,True,33.2
12,马甸,160101,西城,新风街1号院 ,2000,1280,1,2,东南,新风街1号院 楼层好采光好视野宽阔 交通便利 满五年,顶层(共20层),False,True,简装,False,79.95
83,月坛,116097,西城,阜成门南大街 ,1992,815,1,3,西南,阜成门南大街 业主诚心出售 看房方便 1992年,中楼层(共20层),False,True,精装,False,70.2
60,右安门内,110671,西城,清芷园 ,2000,1060,1,3,东,清芷园东向三居楼层高视野好方正户型,高楼层(共18层),False,True,简装,True,95.78
73,马连道,107566,西城,三义东里 ,1988,418,1,1,南,西城区 三义东里南向正规一居室 满五年唯一精装修,中楼层(共16层),False,True,精装,True,38.86
68,木樨地,140207,西城,白云观 ,1991,680,1,1,东,白云观，户型方正，高楼层，采光好。,高楼层(共6层),True,False,精装,False,48.5
43,右安门内,95991,西城,新安中里 ,2004,680,1,2,东,新安中里 2004年建成，东向 正规两居室,中楼层(共16层),False,True,简装,False,70.84
89,广安门,93634,西城,车站西街13号院 ,1995,528,1,2,南 北,西城广安门 满五唯一 南北通透两居室 双阳台,顶层(共6层),False,True,简装,False,56.39
46,月坛,137306,西城,阜成门南大街 ,1985,530,1,1,东,阜成门南大街   月坛   金融街,中楼层(共14层),False,True,简装,True,38.6
65,西直门,98787,西城,新兴东巷 ,1985,570,1,2,南 北,西城区南北通透两居室中间楼层采光好,高楼层(共6层),False,True,简装,True,57.7
76,德胜门,154305,西城,新街口东街 ,1988,699,1,1,东 南 北,西城区新街口东街适宜居住一居室,顶层(共6层),False,True,简装,True,45.3
148,右安门内,91332,西城,清芷园 ,2003,845,1,2,西南,清芷园正规两室一厅 户型方正 交通便利全明格局,低楼层(共18层),False,True,简装,False,92.52
32,天宁寺,84234,西城,广安门外南街 ,1981,460,1,2,东 北,广安门外南街 东南向两居室 楼层高 视野好,顶层(共6层),False,True,简装,False,54.61
59,马连道,98440,西城,马连道路甲18号院 ,1995,429,1,1,南,西城区，马连道路甲18号院，朝南一居室满五唯一，精装,中楼层(共6层),False,True,精装,False,43.58
14,白纸坊,97619,西城,新安北里 ,1980,537,1,2,东 西,白纸坊 北京印钞厂央产房 东西通透小两居,顶层(共6层),False,True,简装,False,55.01
187,定慧寺,87825,海淀,八里庄北里 ,1996,440,1,1,南,八里庄带电梯大一居 视野开阔 采光充足,高楼层(共10层),False,True,精装,False,50.1
593,清河,53572,海淀,福美苑 ,2012,468,1,2,南 西,清河 电梯房 婚房装修 交通便利,顶层(共21层),False,True,精装,True,87.36
74,万柳,142729,海淀,万泉新新家园 ,2001,2380,1,3,南 北,万泉新新家园东南北三面采光，业主诚心卖,高楼层(共6层),False,True,简装,False,166.75
156,四季青,133668,海淀,京投银泰琨御府 ,2015,2055,2,3,南 北,2016年新中式 琨御府观景3居 60多米楼间距 沐浴阳光,中楼层(共6层),True,False,精装,False,153.74
17,安宁庄,75076,海淀,安宁佳园 ,2007,750,1,3,东南 南,安宁佳园 3室1厅 东南 南,高楼层(共18层),False,True,精装,False,99.9
18,安宁庄,73049,海淀,安宁佳园 ,2007,760,1,3,南 北,本房楼层好，视野宽阔，采光充足，精装修，有电梯,中楼层(共10层),False,True,精装,False,104.04
8,二里庄,97077,海淀,志新村 ,1994,830,1,3,东 南 北,志新村小区央产三居室 有电梯 户型好 采光好,低楼层(共18层),False,True,简装,False,85.5
6,五棵松,62629,海淀,今日家园 ,2001,885,1,3,西北,今日家园 精装空房三居室   业主诚售  随时可看,中楼层(共24层),False,True,精装,False,141.31
18,玉泉路,99580,海淀,金隅长安山麓 ,2012,1800,2,4,南 北,金隅长安山麓 4室2厅 南 北,下叠(共5层),False,True,精装,False,180.76
10,清河,58567,海淀,美欣家园 ,2003,830,2,3,南 北,美欣家园 满五唯一 精装修 看房方便  电梯三居,中楼层(共15层),False,True,精装,True,141.72
9,五棵松,98592,海淀,太平路44号院 ,1998,805,1,3,南 北,太平路44号院新增南北通三居室满五年唯一,底层(共6层),False,True,简装,False,81.65
11,西三旗,87956,海淀,育新花园 ,1995,555,1,2,西,西三旗育新花园小区小2居 精装修 满五年,高楼层(共22层),True,False,精装,False,63.1
13,清河,100144,海淀,橡树湾四期 ,2013,980,1,2,南,橡树湾四期 2室1厅 南,高楼层(共18层),False,True,精装,False,97.86
3,西三旗,92055,海淀,育新花园 ,1996,475,1,1,南,育新花园 中间层南向一居 诚心出售,中楼层(共6层),False,True,简装,True,51.6
24,世纪城,103354,海淀,远大园五区 ,2001,1350,1,3,东南,"远大园五区东南向三居室, 房子满五年唯一,",低楼层(共16层),False,True,简装,False,130.62
17,牡丹园,94290,海淀,牡丹园东里 ,1996,710,1,2,南 北,牡丹园东里 2室1厅 南 北,中楼层(共12层),False,True,简装,True,75.3
37,西二旗,56593,海淀,铭科苑 ,1998,558,1,3,东南,铭科苑 3室1厅 东南,中楼层(共6层),False,True,简装,True,98.6
8,学院路,88962,海淀,学院路14号院 ,1987,548,1,2,南,近地铁有停车位满五唯一有钥匙全明格局双语幼儿园,中楼层(共6层),False,True,简装,True,61.6
66,四季青,67108,海淀,五棵松26号院 ,1998,518,2,2,南 北,四季青 五路居地铁 五棵松26号院南北两居室,低楼层(共9层),False,True,简装,False,77.19
14,西直门,85366,海淀,明光村小区 ,1981,525,1,2,南 北,明光村 电梯直达 南北通透 两居室,高楼层(共12层),False,True,简装,False,61.5
32,甘家口,93290,海淀,甘家口小区 ,1982,570,1,2,南 北,甘家口小区南北二居 楼层好 交通便利,低楼层(共6层),False,True,简装,True,61.1
33,新街口,89874,海淀,德胜门西大街甲5号 ,1983,639,1,3,南 北,德胜门西大街甲5号 3室1厅 南 北,高楼层(共6层),False,True,精装,False,71.1
29,牡丹园,92520,海淀,塔院小区 ,1989,825,1,3,东 南 北,牡丹园塔院南北通透三居室视野好,高楼层(共18层),False,True,简装,False,89.17
13,玉泉路,79853,海淀,玉海园二里 ,1997,650,1,2,南 北,五棵松玉泉路 玉海园有装修 正规南北两居 诚意出售,高楼层(共6层),False,True,精装,True,81.4
6,公主坟,98940,海淀,羊坊店路3号院 ,1978,560,1,3,南 西 北,羊坊店路3号院 3室1厅 南 西 北,中楼层(共5层),False,True,简装,False,56.6
14,学院路,100266,海淀,清枫华景园 ,2005,1320,2,3,北 南,清枫华景园 3室2厅 北 南,低楼层(共16层),False,True,精装,False,131.65
264,公主坟,99645,海淀,翠微北里 ,1988,840,1,3,东 南 北,三居室带客厅  东南北东三面采光 有电梯 安静不临街,高楼层(共24层),False,True,简装,False,84.3
220,甘家口,93214,海淀,国兴家园 ,2000,1390,1,3,东南,东南向三居室，户型方正，看房方便,低楼层(共24层),False,True,简装,True,149.12
501,紫竹桥,75133,海淀,紫竹院南路甲1号 ,1989,565,1,3,南 北,紫竹院公园 国家图书馆 玉渊潭公园,顶层(共7层),False,True,简装,True,75.2
39,马连洼,86705,海淀,博雅西园 ,2004,1348,2,3,南 北,厢黄旗  博雅西园   三室两厅两卫  满五年唯一,低楼层(共7层),False,True,精装,True,155.47
28,五棵松,63779,海淀,永金里小区 ,1998,720,1,2,南 北,永金里小区 南北向 两居室 楼层好 采光好,低楼层(共12层),False,True,简装,False,112.89
42,西三旗,55469,海淀,建材城东一里 ,1996,355,1,2,南 北,建材城东一里，海淀产权，满五唯一南北通透两居室,顶层(共6层),False,True,精装,False,64
40,万柳,132367,海淀,阳春光华家园 ,2000,2100,1,4,南 北,高楼层 视野好 观西山绵延的山脉 有地下车位,顶层(共12层),False,True,简装,False,158.65
32,定慧寺,88597,海淀,八里庄北里 ,1997,808,1,3,东南 北,西八里庄北里慈寿寺地铁，邻双公园，敞亮大客厅。,中楼层(共16层),True,False,简装,True,91.2
25,紫竹桥,89358,海淀,美林花园 ,2000,2100,2,5,东,西三环边品质小区 高层观景房 复式四居 采光好 拎包住,高楼层(共25层),False,True,精装,False,235.01
71,军博,92673,海淀,博望园 ,2003,812,1,2,西,满五年唯一 电梯好房 两室一厅格局方正,中楼层(共16层),False,True,精装,False,87.62
26,玉泉路,98376,海淀,金隅长安山麓 ,2012,1750,2,5,南 北,金隅长安山麓 5室2厅 南 北,下叠(共5层),False,False,精装,False,177.89
33,西三旗,62988,海淀,悦秀园 ,2000,476,1,2,南 北,悦秀园，低楼层，海淀产权，南北通透两居室,低楼层(共6层),False,True,简装,False,75.57
4,小西天,93819,海淀,新外大街15号院 ,1977,425,1,2,东 西,新外大街15号院 2室1厅 东 西,低楼层(共6层),True,False,简装,False,45.3
32,牡丹园,89931,海淀,花园北路乙28号院 ,1995,518,1,2,东 西,花园北路乙28号院中间楼层，楼龄新，有钥匙，临地铁,中楼层(共6层),False,True,简装,True,57.6
16,清河,68425,海淀,福美苑 ,2012,353,1,1,南,福美苑优质一居室，全南朝向，采光好，电梯房，,高楼层(共21层),False,True,其他,True,51.59
18,清河,69798,海淀,小营东路6号院 ,1985,379,1,2,南 北,小营东路6号院 南北向两居室 满五年,顶层(共5层),False,True,简装,True,54.3
14,清河,65820,海淀,怡清园 ,2003,570,1,2,南 北,怡清园 2室1厅 南 北,低楼层(共6层),False,True,其他,False,86.6
56,紫竹桥,101640,海淀,北无宿舍 ,1995,620,1,2,南 北,北无家属院 靠谱两居室   诚心卖,中楼层(共6层),False,True,简装,False,61
23,海淀北部新区,42799,海淀,上庄馨瑞嘉园 ,2013,293,1,1,南,上庄馨瑞嘉园高楼层精装修南向采光好,顶层(共15层),False,True,精装,False,68.46
22,西二旗,67343,海淀,智学苑 ,2000,465,1,2,南 北,智学苑 满五年唯一 南北通透两居 低楼层 诚意出售,底层(共6层),False,True,简装,False,69.05
23,清河,79594,海淀,永泰东里 ,1996,360,1,1,南,永泰东里 1室1厅 南,低楼层(共6层),False,True,其他,True,45.23
39,紫竹桥,89682,海淀,七贤村 ,1990,478,1,2,南 北,花园桥七贤村小区南北通透两居室，满五年唯一商品房,顶层(共6层),False,True,精装,True,53.3
4,白石桥,99009,海淀,大慧寺12号院 ,2000,1188,2,3,东 西,计生委复式精装修拎包入住三居室,底层(共14层),False,True,精装,False,119.99
21,定慧寺,90335,海淀,定慧福里南区 ,2009,800,1,2,南,定慧福里南区 不临街 无遮挡 满五年且唯一住房 有电梯,中楼层(共12层),False,True,精装,True,88.56
26,马甸,88791,海淀,月季园 ,1995,705,1,3,东,北三环马甸月季园 精装修东向三居室 明厨明卫 带车位,高楼层(共20层),False,True,精装,True,79.4
15,上地,133972,海淀,上地东里 ,1993,1049,1,3,东 西 北,上地东里 三面采光 满五年商品房 产权清晰随时签约,高楼层(共6层),False,True,简装,False,78.3
16,公主坟,110147,海淀,普惠北里 ,1981,825,1,3,南 北,普惠北里 南北通透 板楼中间层 精装修 满五年唯一,中楼层(共5层),False,True,精装,False,74.9
58,牡丹园,67739,海淀,都景苑 ,2001,451,1,2,南,都景苑 精装修 一居室 看房子方便随时签约,中楼层(共23层),True,False,其他,True,66.58
40,苏州桥,99246,海淀,小南庄社区 ,1990,658,1,2,东 西,小南庄社区 中间楼层全新装修两居 满五唯一 诚心出售,中楼层(共5层),False,True,精装,True,66.3
12,清河,100357,海淀,橡树湾二期 ,2009,535,0,1,南,橡树湾二期 1室0厅 南,高楼层(共11层),False,True,简装,False,53.31
12,二里庄,105634,海淀,二里庄小区 ,1993,825,1,3,南 北,二里庄南北通透三居，满五年，精装修，户型好,高楼层(共6层),False,True,精装,False,78.1
9,双榆树,104772,海淀,榆苑公寓 ,1999,505,1,1,南,板楼南向一居室 大客厅 精装修 小区安静 停车方便,中楼层(共7层),False,True,精装,False,48.2
14,马连洼,67520,海淀,兰园 ,1997,438,1,2,东 西,马连洼兰园两居室  满五唯一商品房  高楼层采光好,顶层(共6层),False,True,精装,True,64.87
29,西直门,92491,海淀,明光村小区 ,1980,468,1,2,南,明光村中间层精装双南两居满五唯一好停车北师大幼儿园,中楼层(共5层),False,True,精装,False,50.6
15,苏州桥,77915,海淀,艾瑟顿 ,2006,695,1,2,东南,苏州街 海淀南路34号 精装修 停车方便,中楼层(共19层),True,False,精装,False,89.2
19,西直门,114595,海淀,远洋风景 ,2002,775,2,2,东 西,商品房小区，东西通透，落地飘窗，全面格局，采光好,中楼层(共13层),False,True,精装,False,67.63
8,海淀北部新区,71615,海淀,保利西山林语 ,2010,330,1,1,西,保利西山林语 三期 一居室 中间楼层,中楼层(共8层),False,True,精装,False,46.08
20,西三旗,63641,海淀,建材城东一里 ,1996,380,1,2,南 北,建材城东一里，海淀产权，南北通透两居室，视野好,中楼层(共7层),True,False,精装,False,59.71
268,新街口,80000,海淀,红联南村 ,1983,340,1,1,南,西直门 朝南一居室 中间楼层 看房方便,中楼层(共6层),False,True,简装,False,42.5
14,玉泉路,72043,海淀,玉阜嘉园 ,2003,780,1,2,东 西,随时看房！！！精装通透 两居室  落地窗 玉泉 诚售,高楼层(共12层),False,False,精装,True,108.27
340,四季青,78334,海淀,美丽西园 ,1999,628,1,2,南 北,美丽西园 南北向的两居室 有电梯,中楼层(共10层),False,True,简装,True,80.17
9,公主坟,114022,海淀,柳林馆 ,1984,740,1,2,南 北,玉渊潭公园科技部柳林馆小区两居,中楼层(共6层),True,False,简装,True,64.9
47,紫竹桥,94281,海淀,北洼西里 ,1988,478,1,2,南,北洼西里（八里庄）满五年双南卧中间楼层交通便利,低楼层(共6层),False,True,精装,True,50.7
194,西北旺,70116,海淀,景和园 ,2011,660,1,3,南 北,景和园，三居室，南北通透，精装修，阳光充沛,顶层(共6层),False,True,简装,True,94.13
387,紫竹桥,91944,海淀,北洼西里 ,1988,525,1,3,南 北,花园桥北洼路正规小三居南北通透,低楼层(共6层),True,False,精装,True,57.1
377,学院路,86271,海淀,北京林业大学校内 ,1979,465,1,2,南 北,学院路 林大家属院 中间层南北两居 看房随时,中楼层(共5层),False,True,简装,False,53.9
70,苏州桥,77217,海淀,沁园公寓 ,1999,1496,2,3,西南,苏州街地铁300米沁园公寓 满五唯一 西南大三居采光好,低楼层(共24层),False,True,精装,False,193.74
62,苏州桥,103619,海淀,小南庄怡秀园 ,1996,945,1,2,东 西,精装修 98年楼龄 板楼 带双阳台 有电梯 可看房,中楼层(共10层),False,True,简装,False,91.2
41,牡丹园,83670,海淀,塔院小区 ,1993,580,1,2,南 北,10号线塔院小区南北向不临街带客厅大两居室,顶层(共6层),False,True,简装,True,69.32
33,皂君庙,84878,海淀,皂君庙丙4号院 ,2000,490,1,2,南 北,皂君庙丙4号院，高楼层两居室，南北通透，临近地铁。,顶层(共6层),False,True,简装,False,57.73
56,新街口,89649,海淀,电车厂宿舍 ,1980,485,1,2,南 北,"电车厂宿舍南北通透中间层两居室,看房方便,诚心出售.",中楼层(共5层),False,True,简装,False,54.1
112,军博,69388,海淀,羊坊店路16号院 ,1993,510,1,2,南 北,羊坊店路16号院 南北通透2居室 明厨明卫,顶层(共5层),False,True,简装,True,73.5
52,白石桥,93104,海淀,大柳树13号院 ,1986,405,1,1,南,大柳树13号院 满五年唯一 精装修 楼层好 交通便利,低楼层(共6层),False,True,精装,False,43.5
64,西二旗,59534,海淀,铭科苑 ,2002,429,1,2,东,精装修 满五年且名下唯一住房 有钥匙 视野宽阔,中楼层(共18层),False,True,简装,True,72.06
40,牡丹园,87909,海淀,牡丹园西里 ,1996,586,1,2,西南 北,牡丹园小区  房本满五年出行方便，看房有钥匙,低楼层(共16层),False,True,简装,True,66.66
52,双榆树,102041,海淀,双榆树东里 ,1990,650,1,2,南,双榆树东里  板楼有电梯，朝南采光好,底层(共16层),False,True,精装,False,63.7
2,万寿路,125655,海淀,万寿路西街1号院 ,1985,720,1,2,南 北,万寿路西街1号院低楼层南北通透两居室,底层(共7层),False,True,简装,True,57.3
12,公主坟,108030,海淀,柳林馆 ,1985,740,1,2,南,西三环，翠微，电梯房，公主坟商圈双南两居室,低楼层(共16层),False,True,精装,False,68.5
54,清河,78452,海淀,世华龙樾一期西区 ,2014,600,1,2,南 北,世华一期，南北两居，业主诚心出售，价格可谈看房方便,低楼层(共17层),True,False,简装,True,76.48
25,厂洼,98838,海淀,厂洼小区 ,1989,425,1,1,东 西,厂洼小区 高楼层通透一居满五年 业主诚心出售,高楼层(共12层),False,True,简装,False,43
7,安宁庄,72808,海淀,安宁里 ,1998,415,1,2,南 北,安宁里 2室1厅 南 北,低楼层(共6层),False,True,简装,False,57
28,厂洼,109043,海淀,厂洼小区 ,1989,615,1,2,南,满五年，近地铁两居室，一层采光好，安静不临街,底层(共6层),False,True,毛坯,False,56.4
63,公主坟,85927,海淀,羊坊店路3号院 ,1989,475,1,2,东,军博地铁口双东两居居，满五唯一，楼层2层,低楼层(共6层),False,True,简装,True,55.28
19,西三旗,47515,海淀,新康园 ,2003,520,1,2,东南,新康园 满五年唯一 配套齐全 业主诚心出售,低楼层(共32层),False,True,精装,True,109.44
25,五道口,119857,海淀,华清嘉园 ,2001,1299,1,2,东 南,华清嘉园 东南向 两居室  产权清晰,低楼层(共19层),False,True,精装,True,108.38
30,白石桥,92195,海淀,学院南路66号院 ,1987,437,1,1,南,满五唯一 带电梯 诚心出售看房方便,低楼层(共14层),False,True,精装,True,47.4
19,六里桥,67884,海淀,吴家村路10号院 ,1997,465,1,2,东 北,吴家村10号院满五唯一优质房源,中楼层(共24层),False,True,精装,False,68.5
150,学院路,80688,海淀,逸成东苑 ,2003,610,1,2,南 北,逸成东苑 2室1厅 南 北,17层,False,True,精装,False,75.6
33,小西天,86129,海淀,红联北村 ,1989,565,1,2,南,西南朝向楼层好，看房子方便，带客厅,低楼层(共16层),True,False,简装,False,65.6
23,甘家口,102273,海淀,彩电宿舍 ,1980,540,1,2,西,彩电宿舍 满五年 费用少 明厨明卫 有钥匙看房方便,中楼层(共6层),False,True,简装,True,52.8
38,海淀北部新区,52486,海淀,北分厂 ,1986,264,0,2,东北,温泉北京分析仪器厂家属宿舍 户型方正,高楼层(共6层),False,True,精装,True,50.3
3,知春路,86432,海淀,蓟门北里 ,1988,465,1,2,南 北,蓟门北里南北通透两居室 满五年 业主诚心出售,顶层(共6层),False,True,简装,True,53.8
112,定慧寺,69873,海淀,北京印象 ,2003,1350,2,3,东南 南,满五年，家庭名下唯一住房，带车位和储藏间,高楼层(共15层),False,True,简装,True,193.21
31,世纪城,131548,海淀,晴雪园 ,2005,1650,2,3,南 北,世纪城三期晴雪园中高楼层全明格局三居室业主诚售,中楼层(共11层),False,True,精装,False,125.43
28,军博,96386,海淀,会城门小区 ,1990,400,1,1,南,会城门小区 精装一居 不临马路 无遮挡,低楼层(共6层),False,True,简装,False,41.5
115,新街口,86174,海淀,城建小区 ,1985,708,1,3,南 北,北二环西直门城建小区南北通透三居室,低楼层(共18层),False,True,简装,False,82.16
12,四季青,104882,海淀,汤泉逸墅 ,2005,1996,2,4,南 北,汤泉高层观湖四居，采光视野 眺望京西，南北通透四居,高楼层(共10层),False,True,精装,False,190.31
26,马甸,102745,海淀,冠城北园 ,1999,1520,2,3,东南,北三环冠城园 人车分流花园小区 东南向精装修 中楼层,低楼层(共19层),False,True,精装,True,147.94
15,万寿路,132163,海淀,复兴路61号院 ,1988,715,1,2,南 北,南北通风好，满五年唯一住房，小区安静停车方便,底层(共5层),False,True,精装,True,54.1
19,二里庄,96561,海淀,志新村 ,1992,730,1,3,南,志新村小区  低楼层 三南向 明厨明卫,底层(共6层),True,False,简装,False,75.6
39,田村,73395,海淀,田村37号院 ,1990,480,1,2,南 北,田村 南北两居室 明厨明卫 满五唯一,中楼层(共6层),False,True,简装,True,65.4
39,马甸,82662,海淀,冠城北园 ,1999,1230,2,3,西北,冠城北园西北向全明格局三居室诚意出售,高楼层(共19层),False,True,其他,True,148.8
15,西北旺,83725,海淀,百旺茉莉园 ,2005,1249,2,3,南 北,百旺茉莉园三居室诚意出售看房方便,高楼层(共9层),False,True,精装,True,149.18
26,六里桥,81464,海淀,铁路小区 ,1998,650,1,3,南 北,海淀区铁路小区南北通透   精装修三居   全明格局,顶层(共6层),False,True,精装,False,79.79
47,四季青,88214,海淀,水云居 ,2011,955,2,2,西南,2011年  水云居  朝南两居  精装修  双卫设计,低楼层(共14层),True,False,精装,False,108.26
55,四季青,101215,海淀,绿波漫板 ,2004,1200,2,2,南 北,绿波漫板东人车分流有明卫满五年唯一诚心出售看房方便,中楼层(共7层),False,True,精装,False,118.56
32,世纪城,128497,海淀,翠叠园 ,2004,2150,2,3,南 北,翠叠园 不临街 满五年唯一 南北通透 双卧南,中楼层(共13层),False,True,精装,False,167.32
7,玉泉路,72107,海淀,玉泉路16号院 ,1961,486,1,2,北 南,玉泉路16号院航天三街坊 南北两居 诚心出售,中楼层(共5层),False,True,简装,True,67.4
15,海淀北部新区,45919,海淀,颐丰庄园 ,2011,499,2,2,南 北,房本已满两年，南北通透，采光好,底层(共6层),True,False,简装,False,108.67
106,西三旗,57015,海淀,轮胎厂宿舍 ,2002,382,1,2,南 北,轮胎厂南北通透两居室 业主自住精装修,高楼层(共6层),False,True,精装,True,67
95,知春路,115639,海淀,太阳园 ,2001,1070,1,3,南,西南三居，高楼层，采光视野好，人车分流,中楼层(共27层),False,True,精装,False,92.53
80,五棵松,61066,海淀,百朗园 ,2000,1080,2,4,南 北,五棵松 百朗园 南北向四居室 有电梯 2000年,中楼层(共17层),False,True,精装,True,176.86
112,海淀北部新区,51831,海淀,北辰香麓 ,2009,1198,2,4,南 北,北部新区 北辰香麓复式四居 地暖、中央空调,底层(共5层),False,True,精装,False,231.14
83,五道口,94261,海淀,成府路20号院 ,2000,1120,2,4,南 西 北,地质大学2000年建成，南北西三面采光四居室 诚意出售,高楼层(共7层),False,True,精装,False,118.82
105,田村,93533,海淀,熙湖 ,2008,1397,4,6,南 北,海淀西四环外 熙湖小区 精装修下跃6居室 不临街,底层(共12层),True,False,精装,False,149.36
21,世纪城,124268,海淀,晴波园 ,2004,2800,2,5,东南 南 北,晴波园  高绿化园区 观昆玉河   双卧室南户型五居室,中楼层(共13层),False,True,精装,True,225.32
121,学院路,44696,海淀,学知轩 ,2001,875,2,3,东 南 北,学知轩三居室，边户无遮挡采光好,中楼层(共21层),False,True,简装,False,195.77
144,小西天,75511,海淀,红联北村 ,1993,555,1,2,南,南向大两居 有电梯 改善居住的好选择,中楼层(共16层),False,True,精装,False,73.5
10,定慧寺,87910,海淀,定慧西里 ,1990,349,1,1,东 西,定慧西里 1室1厅 东 西,顶层(共6层),False,True,简装,False,39.7
11,中关村,143505,海淀,教委计生委大院 ,1995,855,1,2,南 北,房子精装修 有车位 南北通透户型,底层(共7层),False,True,精装,False,59.58
42,清河,68628,海淀,观澳园 ,2005,588,1,2,西南,海淀区 观澳园 西南向两居室 精装修,中楼层(共5层),False,True,精装,False,85.68
31,西二旗,66568,海淀,铭科苑 ,1999,539,1,2,南,铭科苑电梯全南两居 中间楼层 采光好,高楼层(共18层),False,True,毛坯,True,80.97
16,定慧寺,79940,海淀,定慧东里 ,1990,530,1,2,西 西北,定慧东里满五年财政部分南房，物业管理好,低楼层(共16层),True,False,精装,False,66.3
21,世纪城,106080,海淀,烟树园 ,2003,780,1,2,西北,世纪城三期烟树园中楼层满五唯一商品房两居室,中楼层(共11层),False,True,精装,False,73.53
40,西直门,89799,海淀,交大东路31号院 ,1998,625,1,2,东南,自动化厂宿舍 两居室带客厅 采光充足无遮挡,中楼层(共14层),False,True,简装,False,69.6
45,甘家口,93857,海淀,首师大东校区 ,1988,550,1,2,南 北,首师大东校区 2室1厅 南 北,顶层(共5层),False,True,简装,True,58.6
25,牡丹园,97713,海淀,塔院小区 ,1989,440,1,1,南 北,高楼层带电梯  精装修  南北通透,中楼层(共14层),False,True,精装,False,45.03
19,紫竹桥,102072,海淀,七贤村 ,1994,690,1,2,南,七贤村 2室1厅 南,中楼层(共15层),False,True,精装,True,67.6
4,学院路,80469,海淀,逸成东苑 ,2003,440,1,1,西南,2004年花园社区，满五年唯一，逸成东苑正规一居室,22层,False,True,简装,False,54.68
16,紫竹桥,88858,海淀,北洼西里 ,1990,630,1,2,东南,此房满五年商品房，东南向两居室，带大客厅，居住方便,顶层(共18层),True,False,其他,True,70.9
15,万柳,179996,海淀,蜂鸟家园 ,2004,889,0,1,北,蜂鸟社区 精装 有新风 自住可主选 满二年,高楼层(共16层),True,False,精装,False,49.39
12,海淀其它,40737,海淀,同泽园西里 ,2012,230,1,2,南 北,2012年板楼社区，海淀产权温馨两居室，集中供暖,底层(共1层),False,True,简装,False,56.46
37,甘家口,100000,海淀,甘家口小区 ,1982,590,1,2,南 北,甘家口小区 南北通透 户型方正 业主诚心出售,高楼层(共6层),False,True,精装,True,59
22,五道口,88286,海淀,王庄路27号院 ,1989,520,1,2,南 北,王庄路27号院 南北通透 中间楼层 阳光充足 前后无遮挡,中楼层(共6层),False,True,简装,True,58.9
40,马甸,93702,海淀,月季园 ,1995,610,1,2,东南,马甸月季园新登记东南向精装修满五唯一双南两居室,低楼层(共20层),False,True,精装,False,65.1
56,军博,79468,海淀,乔建里 ,1989,406,1,2,南,乔建里 2室1厅 南,低楼层(共3层),False,True,简装,False,51.09
15,西三旗,61539,海淀,常秀家园 ,1996,360,1,2,南 北,新上 西三旗常秀家园  南北两居 2层 诚心出售随时签约,低楼层(共6层),True,False,简装,False,58.5
42,清河,62649,海淀,宝盛里 ,2000,369,1,2,东 西,海淀区宝盛里 精装修 户型好 采光好 通透 诚心出售,顶层(共5层),True,False,精装,False,58.9
6,六里桥,60952,海淀,澐澐国际 ,2008,620,1,2,西,澐澐国际，中间楼层，采光好，满五年唯一，海淀产权！,中楼层(共26层),False,True,简装,False,101.72
51,定慧寺,93024,海淀,八里庄北里 ,1997,400,1,1,南,八里庄北里  精装  朝南  一居室 地铁6号线10号线,高楼层(共6层),False,True,精装,False,43
29,紫竹桥,102606,海淀,车公庄西路35号院 ,1992,630,1,2,南,车公庄西路35号院 2室1厅 南,低楼层(共18层),False,True,精装,False,61.4
18,六里桥,68182,海淀,吴家村路10号院 ,1998,405,1,1,西北,海淀区吴家村路10号院正规1居室，精装修 满5 唯一,高楼层(共24层),False,True,精装,False,59.4
